correct,incorrect
উৎক্ষেপণ,উৎক্ষেপন
উৎখাত,উৎক্ষাত
উৎপত্তি,উৎপত্তী
উৎপত্তিস্থল,উৎপত্তি স্থল
উৎপন্ন,উৎপণ্য
উৎপাটিত,উৎপাটীত
উৎপাত,উৎপাৎ
উৎপাদ,উতপাদ
উৎপাদক,উতপাদক
উৎপাদন,উৎপাদণ
উৎপীড়ন,উৎপীড়ণ
উৎপীড়িত,উৎপিড়ীত
উৎসব,উতসব
উৎসবভাতা,উৎসব ভাতা
উৎসমুখ,উৎস মুখ
উৎসর্গ,উৎস্বর্গ
উৎসর্গপত্র,উৎসর্গ পত্র
উৎসর্গিত,উৎসর্গীত
উৎসর্গীকৃত,উৎসর্গিকৃত
উৎসস্থল,উৎস স্থল
উৎসারণ,উৎসারন
উৎসারিত,উৎসারীত
উৎসাহব্যঞ্জক,উৎসাহ ব্যাঞ্জক
উৎসাহান্বিত,উৎসাহন্বিত
উৎসাহী,উৎসাহি
উৎসুক,উতসুক
উত্তমপুরুষ,উত্তম-পুরুষ
উত্তমমধ্যম,উত্তম মধ্যম
উত্তমর্ণ,উত্তমর্ন
উত্তমাশা,উত্তমশা
উত্তরকাল,উত্তর কাল
উত্তরকালীন,উত্তরকালিন
উত্তরণ,উত্তরন
উত্তরদাতা,উত্তর দাতা
উত্তরপত্র,উত্তর পত্র
উত্তরপদ,উত্তর পদ
উত্তরপশ্চিম,উত্তর পশ্চিম
উত্তরপুরুষ,উত্তর পুরুষ
উত্তরপূর্ব,উত্তর পূর্ব
উত্তর-প্রত্যুত্তর,উত্তরপ্রত্যুত্তর
উত্তরফাল্গুনী,উত্তরফাল্গুনি
উত্তরমেরু,উত্তর-মেরু
উত্তরসূরি,উত্তরসূরী
উত্তরাধিকারসূত্রে,উত্তরাধিকার সূত্রে
উত্তরাধিকারী,উত্তরাধিকারি
উত্তরায়ণ,উত্তরায়ন
উত্তরীয়,উত্তরিয়
উত্তরােত্তর,উত্তােরােত্তর
উত্তল,উত্যল
উত্তীর্ণ,উত্তীর্ন
উত্তুঙ্গ,উত্যুঙ্গ
উত্তুরে (উত্তরদিক হতে আসা),উত্তরে
উত্তেজিত,উত্তেজীত
উত্তােলন,উত্তলন
উত্ত্যক্ত,উত্যাক্ত
উত্থান,উত্থাণ
উত্থানপতন,উত্থান পতন
উত্থাপক,উথ্থাপক
উত্থাপন,উত্থাপণ
উত্থাপিত,উত্থাপীত
উত্থিত,উত্থীত
উথালপাথাল,উতালপাথাল
উদয়ন,উদয়ণ
উদরাময়,ঊদরাময়
উদরী,উদরি
উদাত্ত,উদাও
উদারনীতি,উদার-নীতি
উদাহরণ,উদাহরন
উদিত,উদীত
উদীচী,উদিচী
উদীয়মান,উদীয়মাণ
উদ্‌গাতা,উদগাতা
উদ্‌গিরণ,উদ্গীরন
উদ্‌গীর্ণ,উদগীর্ণ
উদ্‌গ্রীব,উদগ্রীব
উদ্‌ঘাটন,উদঘাটন
উদ্‌ঘাটিত,উদঘাটীত
উদ্‌জান,উদজান
"উদ্‌বাস্তু, উদ্বাস্তু",উদবাস্তু
"উদ্‌বায়ী, উদ্বায়ী",উদ্বায়ি
"উদ্‌বেগ, উদ্বেগ",উদবেগ
"উদ্‌বেগজনক, উদ্বেগজনক",উদ্‌বেগ জনক
"উদ্‌বৃত্ত, উদ্বৃত্ত",উদবৃত্ত
"উদ্‌বোধন, উদ্বোধন",উদবোধন
"উদ্‌বোধনী, উদ্বোধনী",উদবোধনী
উদ্‌ভ্রান্ত,উদ্ভ্রান্ত
উদ্‌যাপন,"উদযাপন, উদ্যাপন"
উদ্‌যাপিত,উদযাপিত
"উদ্‌যোগ, উদ্যোগ",উদযোগ
উদারপন্থি,উদারপন্থী
উদাসীন,উদাসিন
উদ্দিষ্ট,উদ্দীষ্ট
উদ্দীপক,উদ্দিপক
উদ্দীপনা,উদ্দিপনা
উদ্দীপিত,উদ্দিপীত
উদ্দীপ্ত,উদ্দিপ্ত
উদ্দেশ (অন্বেষণ),উদ্দেশ্য
উদ্দেশে (প্রতি),উদ্দেশ্যে
"উদ্দেশ্য (লক্ষ্য, অভিপ্রায়)",উদ্দেশ
উদ্দেশ্যমূলক,উদ্দেশ্য মুলক
উদ্ধার,উদ্দার
উদ্ধারকর্তা,উদ্ধার কর্তা
উদ্ধারকারী,উদ্ধারকারি
উদ্ধারচিহ্ন,উদ্ধার চিহ্ন
উদ্ধৃত,উদ্ধর্ত
উদ্ধৃতি,উদ্ধৃতী
উদ্ভব,উদভব
উদ্ভাবন,উদ্ভাবণ
উদ্ভাবনী,উদ্ভাবনি
উদ্ভাবনীশক্তি,উদ্ভাবনী শক্তি
উদ্ভাবিত,উদ্ভাবীত
উদ্ভিজ্জ,উদ্ভির্য
উদ্ভিদবিদ্যা,উদ্ভিদ বিদ্যা
উদ্ভূত,উদ্ভুত
উদ্যমী,উদ্যমি
উদ্যান,উদ্যাণ
উদ্যানবিদ্যা,উদ্যান বিদ্যা
উদ্যানরক্ষক,উদ্যান রক্ষক
উদ্যােগী,উদ্যােগি
উদ্যোক্তা,উদ্যক্তা
উনআশি,ঊনআশি
উনচল্লিশ,ঊনচল্লিশ
উনত্রিশ,ঊনত্রিশ
উননব্বই,ঊননব্বই
উনসত্তর,ঊনসত্তর
উনিশ,ঊনিশ
উনুন,উনূন
উন্নয়ন প্রকল্প,উন্নয়নপ্রকল্প
উন্নয়নমুখী,উন্নয়নমুখি
উন্নয়নশীল,উন্নয়ন শীল
উন্নাসিকতা,উন্যাসিকতা
উন্নীত,উন্নিত
উন্মত্ত,উম্মত্ত
উন্মাদ,উম্মাদ
উন্মাদনা,উম্মাদনা
উন্মুক্ত,উম্মুক্ত
উন্মুখর,উন্মূখর
উন্মোচন,উম্মোচন
উন্মোচিত,উন্মোচীত
উপকরণ,উপকরন
উপকারিতা,উপকারীতা
উপকারী,উপকারি
উপকূল,উপকুল
উপকূলবর্তী,উপকূল বর্তী
উপক্রমণিকা,উপক্রমনিকা
উপগ্রহ,উপ-গ্রহ
উপজাত,উপ-জাত
উপজাতি,উপজাতী
উপজীবিকা,উপ-জীবিকা
উপজীব্য,উপজিব্য
উপড়ানাে,উপড়ান
উপঢৌকন,উপঢৌকণ
উপত্যকা,উপত্যাকা
উপদংশ,উপ-দংশ
উপদল,উপ-দল
উপদিষ্ট,উপদীষ্ট
উপদেবতা,উপ-দেবতা
উপদেশমূলক,উপদেশ মূলক
উপদেষ্টা,উপদেস্টা
উপদ্বীপ,উপদ্বিপ
উপদ্রব,উপ-দ্রব
উপদ্রুত,উপদ্রূত
উপনদ,উপ-নদ
উপনয়ন,উপ-নয়ন
উপনিবেশ,উপ-নিবেশ
উপনিবেশবাদ,উপনিবেশ-বাদ
উপনির্বাচন,উপ-নির্বাচন
উপনিষদ,উপনিসদ
উপনীত,উপনিত
উপনেতা,উপ-নেতা
উপন্যাসিকা,উপন্যাসীকা
উপপরিচালক,উপ-পরিচালক
উপপাদ্য,উপপদ্য
উপবিধি,উপ বিধি
উপবিষ্ট,উপবিষ্ঠ
উপবৃত্তাকার,উপবৃত্তকার
উপবেশন,উপবেষণ
উপভাষা,উপ-ভাষা
উপভােগ্য,উপ-ভােগ্য
উপমন্ত্রী,উপ-মন্ত্রী
উপমহাপরিচালক,উপ-মহাপরিচালক
উপযুক্ত,উপ-যুক্ত
উপযোগিতা,উপযোগীতা
উপযোগী,উপযোগি
উপযোজন,উপ-যোজন
উপরওয়ালা,উপর-ওয়ালা
উপরন্তু,উপরন্তূ
উপরাষ্ট্রপতি,উপ-রাষ্ট্রপতি
উপরি,উপরী
উপরিউক্ত,উপরুক্ত
উপরিভাগ,উপরি ভাগ
উপরিস্থিত,উপরস্থিত
উপর্যুক্ত,উপর্যুপরি
উপলক্ষ্য,উপলক্ষ
উপলক্ষ্যে,উপলক্ষে
উপলব্ধি,উপলদ্ধি
উপশম,উপসম
উপসংহার,উপ-সংহার
উপসচিব,উপ সচিব
উপসর্গ,উপস্বর্গ
উপসাগর,উপ-সাগর
উপস্থাপন,উপস্থাপণ
উপস্থাপিত,উপস্থাপীত
উপস্থিতবক্তৃতা,উপস্থিত বত্তৃতা
উপস্থিতবুদ্ধি,উপস্থিত বুদ্ধি
উপস্থিতি,উপস্থিতী
উপাচার্য,উপচার্য
উপাধি,উপাধী
উপানুষ্ঠানিকপত্র,উপানুষ্ঠানিক পত্র
উপায়ান্তর,উপায়ন্তর
উপার্জিত,উপার্জীত
উপাসনালয়,উপাসনা লয়
উপেক্ষিত,উপেক্ষীত
উফশী,উফসি
উভচর,উভ-চর
উভয়সংকট,উভয় সঙ্কট
উভলিঙ্গ,উভয়লিঙ্গ
উমরাহ,উমরাহ্
উমেদারি,উমেদারী
উর্ণনাভ,ঊর্ণনাভ
উর্দি,উর্দী
উর্দু,ঊর্দু
উর্বর,ঊর্বর
উলকি,উল্কী
উলটকম্বল,উলট কম্বল
উলটানো,উল্টানাে
উলুখাগড়া,উলু খাগরা
উলুধ্বনি,উলুধ্বণি
উল্কাপাত,উল্কা পাত
উল্কাপিণ্ড,উল্কা পিণ্ড
উল্লঙ্ঘন,উল্লঙ্ঘণ
উল্লম্ফন,উল্লম্ফণ
উল্লম্ব,ঊল্লম্ব
উল্লসিত,উল্লাসিত
উল্লাসমুখর,উল্লাস মুখর
উল্লিখিত,উল্লেখিত
উল্লেখযোগ্য,উল্লেখ যোগ্য
উল্লেখ্য,উল্লেক্ষ
উশুল,উসুল
উষা,ঊষা
উষাকালীন,ঊষাকালিন
উষ্ণপ্রস্রবণ,উষ্ণ প্রস্রবন
উষ্ণমণ্ডল,উষ্ণ মণ্ডল
উষ্ণীষ,উষ্ণিষ
উষ্মবর্ণ,উষ্ণবর্ণ
উষ্মা,উস্মা
উসকানি,উস্কানি
উসকানাে,উসকান
ঊনবিংশ,উনবিংশ
ঊর্ধ্ব,ঊর্ধ
ঊর্ধ্বকমা,ঊর্ধ্ব কমা
ঊর্ধ্বগতি,ঊর্ধ্ব গতি
ঊর্ধ্বগামী,ঊর্ধ্ব গামী
ঊর্ধ্বতন,ঊর্ধ্ব তন
ঊর্ধ্বশ্বাসে,ঊর্ধ্বঃশ্বাসে
ঊর্ধ্বাঙ্গ,উর্ধ্বাঙ্গ
ঊষর,উষর
ঊহ্য (অনুক্ত),উহ্য
ঋ-কার,ঋকার
ঋগ্‌বেদ,ঋকবেদ
ঋণখেলাপি,ঋণখেলাপী
ঋণগ্রস্ত,ঋণগ্রস্থ
ঋণগ্রহীতা,ঋণগ্রহিতা
ঋণচুক্তি,ঋণ চুক্তি
ঋণদাতা,ঋণ দাতা
ঋণপত্র,ঋণ পত্র
ঋণাত্মক,ঋনাত্বক
ঋণী,ঋনি
ঋতু,ঋতূ
ঋত্বিক,ঋত্মিক
ঋদ্ধ,ঋদ্দ
ঋদ্ধিমান,ঋদ্ধিমাণ
ঋষি,ঋষী
ঋষিতুল্য,ঋষি তুল্য
এইচআইভি,এসআইভি
এইজন্য,এই জন্য
এইটুকু,এই টুকু
এইডস,এইড্‌স
এইবার,এই বার
এইভাবে,এই ভাবে
এইমতে,এই মতে
এইমাত্র,এই মাত্র
এইরূপ,এইরুপ
এইরূপে,এই রূপে
এইসব,এই সব
এঁকেবেঁকে,এঁকেবেকে
এঁটেল,এটেল
এঁদের (সম্মানার্থে),এদের
এঁদাে,এদাে
একই,একি
এককাট্টা,একাট্টা
এককালীন,এককালিন
একখানা,এক খানা
একগাদা,এক গাদা
একগুঁয়ে,একগুয়ে
একগুঁয়েমি,একগুয়েমি
একঘরে (বয়কট অর্থে),এক ঘরে
একঘেয়ে,একঘেঁয়ে
একঘেয়েমি,একঘেয়েমী
একচল্লিশ,এক চল্লিশ
একচেটিয়া,এক চেটিয়া
একচ্ছত্র,একছত্র
একজাতীয় (একরকম অর্থে),এক জাতীয়
একজোট (একত্র অর্থে),এক জোট
একটানা,এক টানা
একটু-আধটু,একটুআধটু
একতরফা,এক তরফা
একতারা (বাদ্যযন্ত্রবিশেষ),এক তারা
"একত্র (সমবেত, মিলিত)",একত্রিত
একত্রিশ,একতিরিশ
একত্রীকরণ,একত্রিকরণ
একদলীয়,এক দলীয়
একদিন (যে -কােনও দিন; একদা),এক দিন
একদেশদর্শী,এক দেশদর্শী
একনজর (একবার),এক নজর
একনায়ক (স্বৈরশাসক),এক নায়ক
একনায়কতন্ত্র,একনায়ক তন্ত্র
একনিশ্বাসে,এক নিশ্বাসে
একনিষ্ঠ,এক নিষ্ঠ
একপেশে,এক পেশে
একপ্রস্থ,এক প্রস্থ
একফালি,এক ফালি
একবচন,এক বচন
একবস্ত্রে (তৎক্ষণাৎ; প্রস্তুতি ছাড়াই),এক বস্ত্রে
একবাক্যে (বিনা প্রতিবাদে),এক বাক্যে
একবার,একবার
একবারে,এক বারে
একবিংশ,এক বিংশ
একবীজপত্রী,একবীজপত্রি
একভাবে,এক ভাবে
একমাত্রিক,এক মাত্রিক
একমুখী,একমুখি
একমেবাদ্বিতীয়ম্,এক মেবাদ্বিতীয়ম
একযোগে,এক যোগে
একর,একাের
একরারনামা,একরার নামা
একরূপ (একরকম),এক রূপ
একরাখো,এক রাখো
একশিরা,এক শিরা
একশেষ,এক শেষ
একহাঁটু (হাঁটু অব্দি),এক হাঁটু
একহাত,এক হাত
একহারা,এক হারা
একাকার,একা কার
একাকিত্ব,একাকীত্ব
একাকী,একাকি
একাগ্রচিত্ত,একাগ্র-চিত্ত
একাঙ্কিকা,একাঙ্কীকা
একাডেমি(‘অ্যাকাডেমি’র বানানভেদ),একাডেমী
একাত্তর,একাওর
একাদশ,একদশ
একাদশী,একাদশি
একাদিক্রমে,একাধিক্রমে
একাধারে,একা ধারে
একাধিকবার,একাধিক বার
একাধিপত্য,একাধিপত্ব
একানব্বই,একা নব্বই
একান্ত সচিব,একান্তসচিব
একান্নবর্তী,একান্নবর্তি
এ-কার,একার
একাশি,একাশী
একীকরণ,একীকরন
একীভবন,একিভবন
একীভূত,একীভুত
একুশে,একূশে
একেবারে,একে বারে
একেশ্বরবাদ,একেশ্বর বাদ
একেশ্বরবাদী,একেশ্বর বাদী
এক্তিয়ার,এখতিয়ার
এক্তিয়ারভুক্ত,এক্তিয়ার ভুক্ত
এক্ষণে,এক্ষনে
এক্ষুনি,এক্ষুণি
এক্সচেঞ্জ,একচেঞ্জ
এক্সপেরিমেন্ট,এক্সপেরিমেন্ট
এক্সপ্রেস,এক্স প্রেস
এক্সরে,এক্স-রে
এখনই,এখনি
এখনও,এখনো
এখনকার,এখন কার
এখানকার,এখান কার
এখানে-সেখানে,এখানেসেখানে
এগারাে,এগার
এগারােই,এগারই
এগােনাে,এগনাে
এজন্য,এ জন্য
এজমালি,এজমালী
এজলাস,এজলাশ
এজাহার,এযাহার
এজেন্ট,এজেণ্ট
এজেন্সি,এজেন্সী
এটুকু,এ টুকু
এডিট,এডিট্
এতকাল,এত কাল
এতখানি,এত খানি
এতদিন,এত দিন
এতদুদ্দেশ্যে,এতদূদ্দেশ্যে
এতদ্‌ব্যতীত,এতদ্ব্যতীত
এতদ্দ্বারা,এতদ্বারা
এতিমখানা,এতীমখানা
এতেকাফ,এহতেকাফ
এত্তেলা,এত্যেলা
এত্তেলানামা,এত্তেলা নামা
এদিক-সেদিক,এদিকসেদিক
এনজিও,এন জি ও
এন্ট্রান্স,এনট্রান্স
এন্ডি,এণ্ডি
এপার-ওপার,এপারওপার
এপিক,এপীক
এপিটাফ,এপিটাপ
এপিঠ-ওপিঠ,এপিঠওপিঠ
এপ্রিল,এপ্রীল
এফআইআর,এফ আই আর
এফিডেভিট,এফিডেবিট
এবংবিধ,এবং বিধ
এবড়ােখেবড়াে,এবড়াে-খেবড়াে
এবাদতখানা,এবাদৎখানা
এভাবে,এ ভাবে
এভারেস্ট,এভারেষ্ট
এমএ,এম এ
এমএসসি,এম এসসি
এমডি,এম ডি
এমতাবস্থায়,এমতবস্থায়
এমনই (এরকমই অর্থে),এমনি
এমনকি,এমনকী
এমনি (অকারণে),এমনই
এমবিবিএস,এম বি বি এস
এযাবৎ,এযাবত
এয়ারপোর্ট,এয়ার পোর্ট
এয়ারমেইল,এয়ার মেইল
এরূপ,এ রূপ
এলাচি,এলাচী
এলাহি,এলাহী
এলােকেশী,এলােকেশি
এলোপাথাড়ি,এলোপাতারি
এলোমেলো,এলমেল
এশা,এসা
এশিয়া,এশীয়া
এশিয়াবাসী,এশিয়াবাসি
এশীয়,এশিয়
এসএমএস,এস এম এস
এসরাজ,এস্রাজ
এসেন্স,এসেন্‌স
এস্কালেটর,এসকালেটর
এস্কিমো,এসকিমো
এস্টেট,এষ্টেট
ঐকতান,ঐক্যতান
ঐকমত্য,ঐক্যমত
ঐকান্তিক,ঐকান্তীক
ঐ-কার,ঐকার
ঐকিক,ঐকীক
ঐক্য,ঐকতা
ঐক্যবদ্ধ,ঐকবদ্ধ
ঐচ্ছিক,ঐচ্ছীক
ঐতিহাসিক,ঐতিহাসীক
ঐতিহ্য,ঐতিয্য
ঐন্দ্রজালিক,ইন্দ্রজালিক
ঐশ্বরিক,ইশ্বরিক
ঐশ্বর্যবান,ঐশ্বর্যবাণ
ঐশ্বর্যমণ্ডিত,ঐশ্বর্যমন্ডিত
ওইরূপ,ঐরূপ
"ওঁকে (ওনাকে, সম্মানার্থে)",ওকে
ও-কার,ওকার
ওকালতনামা,ওকালতিনামা
ওকালতি,ওকালতী
ওখানকার,ওখান কার
ওজন(ভর),ওযন
ওজনদরে,ওজন দরে
ওজনদার,ওজন দার
ওজর,ওজোর
ওজু,ওযু
ওজোন (গ্যাসবিশেষ),ওজন
ওঝা,ওজা
ওঠা (‘উঠা’র চলিত রূপ),উঠা
ওঠানামা,উঠানামা
ওড়না,উড়না
ওড়া,উড়া
ওড়ানাে,উড়ানাে
ওড়িয়া,উরিয়া
ওড়িশি,ওড়িশী
ওতপ্রোত,ওতঃপ্রোত
ওভারটাইম,ওবারটাইম
ওমরাহ,ওমরাহ্‌
ওভারটাইম,ওবারটাইম
ওয়াকিবহাল,ওয়াকিফহাল
ওয়াক্‌ফ,ওয়াকফ
ওয়াক্ত,ওয়াক্‌ত
ওয়াজ,ওয়ায
ওয়াজিব,ওয়াযিব
ওয়াট,ওয়াট্‌
ওয়াড়,ওয়ার
ওয়ারিশ,ওয়ারিস
ওয়ারিশান,ওয়ারিশাণ
ওয়ারেন্ট,ওয়ারেণ্ট
ওয়ার্কশপ,ওয়ার্কসপ
ওয়াশিল,ওয়াশীল
ওয়াহাবি,ওয়াহাবী
ওয়েজবোর্ড,ওয়েজ বোর্ড
ওয়েবসাইট,ওয়েব সাইট
ওয়্যারিং,ওয়ারিং
ওরফে,ওর্ফে
ওরাং-ওটাং,ওরাংওটাং
ওলট-পালট,উলট-পালট
ওলন্দাজ,উলন্দাজ
ওলাওঠা,ওলা ওঠা
ওলাবিবি,ওলা বিবি
ওষুধপত্র,ওষুধ পত্র
ওষ্ঠ (ঠোঁট),ওষ্ট
ওষ্ঠ্য (ওষ্ঠজাত),ওষ্ঠ
ওস্তাদি,ওস্তাদী
ওহি,অহি
ঔ-কার,ঔকার
ঔচিত্য,ঔচিত্ব
ঔচিত্যবোধ,ঔচিত্য বোধ
ঔজ্জ্বল্য,উজ্জ্বল্য
ঔৎসুক্য,ঔৎসুক
ঔদার্য,উদার্য
ঔদাসীন্য,ঔদাসিন্য
ঔদ্ধত্য,ঔদ্ধত্ব
ঔপনিবেশিক,উপনিবেশিক
ঔপন্যাসিক,উপন্যাসিক
ঔরস,ঔরশ
ঔষধ,ঔষুধ
ঔষধালয়,ওষুধালয়
ঔষধি,ওষধী
কই,কৈ
কংক্রিট,কংক্রীট
কংগ্রেসি,কংগ্রেসী
ককটেল,কক্টেল
ককনি,কক্‌নি
ককপিট,কক্‌পিট
কক্ষচ্যুত,কক্ষচ্যূত
কক্ষপথ,কক্ষ পথ
কখনোই,কখনাে
কঙ্কণ,কঙ্কন
কঙ্কাল,কংকাল
কঙ্কালসার,কঙ্কাল সার
কচিকাঁচা,কচিকাচা
কচুরিপানা,কচুড়িপানা
কচ্ছপ,কচ্চপ
কঞ্চি,কঞ্চী
কঞ্জুস,কঞ্জুষ
কটিবন্ধ,কটিবদ্ধ
কটু,কটূ
কটূক্তি,কটুক্তি
কঠাের,কঠর
কড়চা,করচা
কড়াকড়ি,কড়াকড়ী
কড়িকাঠ,করিকাঠ
কণা,কনা
কণিকা,কনিকা
কণ্টকাকীর্ণ,কন্টকাকীর্ণ
কণ্ঠ,কন্ঠ
কণ্ঠনালি,কন্ঠনালী
কণ্ঠস্থ,কণ্ঠঃস্থ
কণ্ঠস্বর,কণ্ঠ স্বর
কণ্ঠ্য (কণ্ঠজাত),কণ্ঠ
কণ্ঠ্যধ্বনি,কণ্ঠধ্বনি
কত,কতো
কতকগুলাে,কতক গূলো
কতগুলাে,কতগূলো
কতক্ষণ,কত ক্ষণ
কতবেল,কৎবেল
কতিপয়,কতীপয়
কথকতা,কতকথা
কথাকলি,কথাকলী
কথামতো,কথামত
কথাশিল্পী,কথা শিল্পী
কথাসাহিত্য,কথা সাহিত্য
কথিকা,কথীকা
কথিত,কথীত
কথোপকথন,কথপকথন
কথ্য,কত্থ
কদমছাঁট,কদমছাট
কদমবুসি,কদমবুছি
কদর্থ,কদর্ত
কদর্য,কদর্য্য
কদাচিৎ,কদাচিত
কনকচাঁপা,কণকচাঁপা
কনটেইনার,কন্টেইনার
কনট্রাক্ট,কন্ট্রাক্ট
কনট্রাক্টর,কনট্রাকটর
কনফারেন্স,কনফারেন্‌স
কনভোকেশন,কনভকেশন
কনসার্ট,কনসার্‌ট
কনিষ্ঠ,কনিষ্ট
কন্ডাক্টর,কন্‌ডাক্‌টর
কন্যা,কণ্যা
কন্যাকর্তা,কন্যা কর্তা
কন্যাকুমারী,কন্যাকুমারি
কন্যাদান,কন্যা দান
কন্যাদায়,কন্যা দায়
কন্যাদায়গ্রস্ত,কন্যাদায় গ্রস্ত
কন্যারাশি,কন্যা রাশি
কপর্দকশূন্য,কপর্দক শূন্য
"কপি (অনুলিপি, সবজিবিশেষ)",কফি
কপিরাইট,কপি রাইট
কপিলাবস্তু,কপীলাবস্তু
কফি (পানীয়বিশেষ),কপি
কফিন,কফিণ
কবচ,কবোচ
কবজ,কবোজ
কবজা,কব্জা
কবজি,কব্জি
কবরখানা,কবর খানা
কবরস্থান,কবর স্থান
কবলিত,কবলীত
কবিগান,কবি গান
কবিগুরু,কবি গুরু
কবিয়াল,কবিআল
কবিরাজি,কবিরাজী
কবুতর,কবূতর
কমজোরি,কমজোরী
কমবেশি,কমবেশী
"কমা (বিরামচিহ্নবিশেষ, কমে যাওয়া)",কোমা
কমান্ডার,কমাণ্ডার
কমান্ডাে,কমাণ্ডাে
কমিউনিটি,কম্যিউনিটি
কমিউনিস্ট,কমিউনিষ্ট
কমিটি,কমিটী
কমিশন,কমিসন
কমিশনার,কমিসনার
কম্পাউন্ডার,কমপাউন্ডার
কম্পাস,কম্‌পাস
কম্পিউটার,কমপিউটার
কম্পোজ,কমপোজ
কম্পোজিটর,কম্পোজিটার
কম্পােস্ট,কম্পােষ্ট
কয়জন,কয় জন
কয়টা,কয় টা
কয়টি,কয় টি
কয়েকটি,কয়েক টি
কয়েদখানা,কয়েদ খানা
কয়েদি,কয়েদী
করকমলেষু,করকমলেসু
করজোড়ে,করজোরে
করণিক,করনিক
করণীয়,করনীয়
করতাল,কর তাল
করতালি,করতালী
করতােয়া,করোতােয়া
করদ,করােদ
করদাতা,কর-দাতা
করবী,করবি
করমর্দন,করমর্দণ
করমুক্ত,কর মুক্ত
করাতি,করাতী
করানাে (‘কাজ করানাে’),করান
করায়ত্ত,করায়ত্ব
করিডর,করিডোর
করিতকর্মা,করিৎকর্মা
করুণ (শোচনীয়),করুন
করুন (‘করা’ অর্থে),করুণ
করােটি,করােটী
করোনারি,করোনারী
কর্কটক্রান্তি,কর্কট ক্রান্তি
কর্জ,কর্‌জ
কর্ণ (কান),কর্ন
কর্ণফুলি,কর্ণফুলী
কর্তন,কর্তণ
কর্তব্যজ্ঞান,কর্তব্য জ্ঞান
কর্তব্যনিষ্ঠা,কর্তব্য নিষ্ঠা
কর্তব্যপরায়ণ,কর্তব্য পরায়ণ
কর্তৃকারক,কতৃকারক
কর্তৃত্ব,কতৃত্ব
কর্তৃপক্ষ,কতৃপক্ষ
কর্তৃবাচ্য,কতৃবাচ্য
কর্ন (ভুট্টা),কর্ণ
কর্নেল,কর্ণেল
কর্পূর,কর্পুর
কর্পোরেশন,করপোরেশন
কর্মকর্তা,কর্ম কর্তা
কর্মকাণ্ড,কর্ম কাণ্ড
কর্মকার,কর্ম কার
কর্মক্ষম,কর্ম ক্ষম
কর্মক্ষেত্র,কর্ম ক্ষেত্র
কর্মচারী,কর্মচারি
কর্মধারয়,কর্মধারায়
কর্মবাচ্য,কর্ম বাচ্য
কর্মমুখী,কর্মমুখি
কর্মশালা,কর্ম শালা
কর্মসংস্থান,কর্ম সংস্থান
কর্মসচিব,কর্ম সচিব
কর্মসূচি,কর্মসূচী
কর্মসূত্রে,কর্ম সূত্রে
কর্মস্থল,কর্মস্তল
কর্মী,কর্মি
কর্ষণ,কর্ষন
কলকবজা,কল কবজা
কলকাঠি,কলকাঠী
কলকারখানা,কল-কারখানা
কলমচি,কলমচী
কলমদানি,কলমদানী
কলমি,কলমী
কলমিলতা,কলমি লতা
কলসি,কলসী
কলহপরায়ণ,কলহ পরায়ন
কলাইশুঁটি,কলাইশুটি
কলাকুশলী,কলাকুশলি
কলাকৌশল,কলা-কৌশল
কলার আইডি,কলার-আইডি
কলিজা,কলীজা
কলুষিত,কলুষীত
কলেরা,কলেড়া
কলোনি,কলােনী
কল্পনাপ্রসূত,কল্পনা প্রসূত
কল্পবিজ্ঞান,কল্প বিজ্ঞান
কল্যাণ,কল্যান
কল্যাণবরেষু,কল্যাণবরেসু
কল্যাণীয়,কল্যানীয়
কল্যাণীয়াসু,কল্যাণীয়াষু
কল্যাণীয়েষু,কল্যাণীয়েসু
কশাঘাত,কষাঘাত
কশেরুকা,কষেরুকা
কষ্টসাধ্য,কষ্ট সাধ্য
কষ্টস্বীকার,কষ্টশিকার
কষ্ঠার্জিত,কষ্টর্জিত
কষ্টিপাথর,কষ্টীপাথর
কষ্টেসৃষ্টে,কষ্টেসৃষ্ঠে
কসমোপলিটান,কসমোপলিটন
কসমস,কস্‌মস্‌
কসরত,কসরৎ
কসাই,কশাই
কসাইখানা,কসাই খানা
কাউন,কাউণ
কাউন্সিল,কাউনসিল
কাওয়ালি,কাওয়ালী
কাঁকড়া,কাকড়া
কাঁকড়াবিছা,কাঁকড়া বিছা
কাঁকরােল,কাকরােল
কাঁচকলা,কাচকলা
কাঁচপােকা,কাচপােকা
কাঁচা (অপক্ব; না-রাঁধা),কাচা
কাঁচাগােল্লা,কাঁচা গােল্লা
কাঁচাবাজার,কাঁচা বাজার
কাঁচামাল,কাঁচা মাল
কাঁচামিঠা,কাঁচা মিঠা
কাঁচি,কাচি
কাঁচুমাচু,কাচুমাচু
কাঁটা (কণ্টক),কাটা
কাঁটাচামচ,কাঁটা চামচ
কাঁটাঝোপ,কাঁটা ঝোপ
কাঁটাতার,কাঁটা তার
কাঁঠাল,কাঠাল
কাঁঠালচাঁপা,কাঁঠাল চাঁপা
কাঁঠালিকলা,কাঁঠালী কলা
কাঁড়া (ছেঁটে পরিষ্কার করা),কাড়া
কাঁদানে গ্যাস,কাঁদানেগ্যাস
কাঁথা,কাথা
কাঁসর,কাসর
কাঁসা,কাসা
কাঁসারি,কাঁসারী
কাঁসি (কাঁসার থালা),কাঁশশ
কাকতাড়ুয়া,কাকতারুয়া
কাকতালীয়,কাকতালিয়
